Countries (ISO2),Countries,Year,Indicators,Result,Analysis [EN],latitude,longitude
BG,Bulgaria,2023,Are 12 years of primary and secondary education legally free?,Yes,"Free primary and secondary education is guaranteed in municipal schools in Bulgaria for twelve years, starting the year the child turns seven. Pre-school and School Education Act  Article 9 (1). The compulsory pre-school and school education at state-owned and municipal kindergartens and schools shall be free for children and pupils. (4) The right to free education shall be exercised by not paying tuition fees for the training financed from the state budget, and using free-of-charge the facilities for training and development of the interests and abilities of children and pupils. No fees shall be paid also in the case of sitting for state matriculation exams and state exams for awarding professional qualifications in the theory and practice of the occupation for the purposes of acquiring a secondary education degree. Article 38 (1). Depending on the stage or degree of education, non-specialized schools shall be:  1. elementary (grades I to IV inclusive);  2. primary (grades I to VII inclusive);  3. gymnasiums (grades VIII to XII inclusive);  4. integrated (grades I to X inclusive);  5. secondary (grades I to XII inclusive)  …  (4) Non-specialized schools shall be municipal, except for vocational gymnasiums which shall be owned by the State. ",42.7339,25.4858
BG,Bulgaria,2023,Is pre-primary education legally free and compulsory?,Yes,"Two years of pre-primary education is free and compulsory in Bulgaria. Pre-school and School Education Act  Article 8. (1). Pre-school education shall be compulsory as from the school year starting in the year in which the child becomes five years of age and the parents shall any of the forms under Article 67, whereas the state and local governments shall create conditions for kindergartens and pre-school education groups to cover all children. (2) School education shall be compulsory until the age of 16, starting from the school year which begins in the year in which the child becomes seven years of age. Article 9. (1). The compulsory pre-school and school education at state-owned and municipal kindergartens and schools shall be free for children and pupils. … ",42.7339,25.4858
BG,Bulgaria,2023,Is equal access to post-secondary education legally guaranteed?,Partially,"The Pre-school and School Education act refers to equal access to high-quality education, although this principal does not explicitly apply to post-secondary education. Pre-school and School Education Act  Article 1. (1). This Act shall regulate the social relationships concerning the safeguarding of the right to pre-school and school education, as well as the structure, functions, organization, management and financing of the pre-school and school education system. (2) This Act shall apply to vocational school education and training, unless the Vocational Education and Training Act rules otherwise. Article 3. (2). Education is a national priority based on the following principles: … 3. equal access to high-quality education and inclusion of every child and every pupil. ",42.7339,25.4858
BG,Bulgaria,2023,Is the legal age of marriage set at least at 18 years old?,Yes,"The Family Code, as amended in 2023, now sets the minimum age of marriage at eighteen for men and women in Bulgaria, without exceptions.Family Code (State Gazette, No. 47/23.06.2009) amended through 2023 Article 6. A person who has reached the age of eighteen may enter into marriage. ",42.7339,25.4858
BG,Bulgaria,2023,Is the minimum age of employment at least 15 and aligned with the end of compulsory education?,Yes,"The minimum age for employment in Bulgaria is 16 years, which is aligned with the end of compulsory education. Labour Code (State Gazette 26/1 Apr 1986), amended through 2018 Article 301. (1). The minimum age for employment shall be 16. The employment of persons under 16 years of age is prohibited. ",42.7339,25.4858
BG,Bulgaria,2023,Are learners legally protected against all violence and corporal punishment in educational institutions?,,"It is reported that corporal punishment is unlawful in schools pursuant to articles 128 and 129 of the Regulation on the Implementation of the National Education Act, which prevents teachers from applying ‘any forms of physical or mental violence against’ children and students (see endcorporalpunishment country report) UNESCO has been unable to access this law.Although the Pre-school and School Education Act supports anti-violence activities, no legal provision has been identified which provides actual legal protection from violence.Pre-school and School Education Act (Gazette No. 79/13.10.2015)Article 185 (1). Kindergartens, schools and personality development support centres shall carry out activities for the prevention of harassment and violence, as well as activities for motivation and overcoming problematic behavior, which are the expression of the common will and the concerted efforts of all participants in the educational process.",42.7339,25.4858
BG,Bulgaria,2023,Is pregnant and parenting girls’ right to education protected in the legal framework?,"No, not explicitly",No legal provision has been identified relating to the right to education of pregnant and parenting girls. ,42.7339,25.4858
BG,Bulgaria,2023,Data last update,Yes,Last update: 03/2025,42.7339,25.4858
BG,Bulgaria,2019,Is the country party to UNESCO Convention against Discrimination in Education?,Yes,Bulgaria ratified the UNESCO Convention against Discrimination in Education on 04/12/1962.,42.7339,25.4858
BG,Bulgaria,2019,Is the country party to the UN Convention on the Elimination of Discrimination against Women?,Yes,Bulgaria ratified the UN Convention on the Elimination of All Forms of Discrimination against Women on 08/02/1982 with no reservations.,42.7339,25.4858
BG,Bulgaria,2019,Does the Constitution enshrine the right to education without discrimination?,"Yes, without discrimination based on sex/gender","The Constitution of Bulgaria enshrines the right to education for all. There is a non-discrimination principle that explicitly mention the ground of sex. Constitution of the Republic of Bulgaria of 1991, as last amended in 2007Article 6. (1). All persons are born free and equal in dignity and rights. (2). All citizens shall be equal before the law. There shall be no privileges or restriction of rights on the grounds of race, national or social origin, ethnic self-identity, sex, religion, education, opinion, political affiliation, personal or social status or property status.Article 53(1). Everyone shall have the right to education.",42.7339,25.4858
BG,Bulgaria,2019,Does the legislation enshrine the right to education without discrimination?,Yes,The legislation enshrines the right to education and contains a general principle of non-discrimination but does not explicitly mention sex or gender as a prohibited ground for distinction. Pre-school and School Education Act (Gazette No. 79/13.10.2015) Article 3 (2) Education is a national priority based on the following principles: 3. equal access to high-quality education and inclusion of every child and every pupil;  4. equal treatment and non-discrimination in pre-school and school education; Article 7 (1). Everybody shall have the right to education and may improve his or her education and qualifications through lifelong learning.  (2). The inclusive education shall constitute an integral part of the right to education. ,42.7339,25.4858
BG,Bulgaria,2019,Are 9 years of primary and secondary education legally compulsory?,Yes,"Education from the age of seven to the age of sixteen is compulsory, for a period of nine years, covering primary and lower secondary education. Pre-school and School Education Act (Gazette No. 79/13.10.2015) Article 8 (2). School education shall be compulsory until the age of 16, starting from the school year which begins in the year in which the child becomes seven years of age. Article 38 (1). Depending on the stage or degree of education, non-specialized schools shall be:  1. elementary (grades I to IV inclusive);  2. primary (grades I to VII inclusive);  3. gymnasiums (grades VIII to XII inclusive);  4. integrated (grades I to X inclusive);  5. secondary (grades I to XII inclusive) ",42.7339,25.4858
BG,Bulgaria,2019,Are 12 years of primary and secondary education legally free?,Yes,"Free primary and secondary education is guaranteed in municipal schools in Bulgaria for twelve years, starting the year the child turns seven. Pre-school and School Education Act (Gazette No. 79/13.10.2015) Article 9 (1). The compulsory pre-school and school education at state-owned and municipal kindergartens and schools shall be free for children and pupils. (4) The right to free education shall be exercised by not paying tuition fees for the training financed from the state budget, and using free-of-charge the facilities for training and development of the interests and abilities of children and pupils. No fees shall be paid also in the case of sitting for state matriculation exams and state exams for awarding professional qualifications in the theory and practice of the occupation for the purposes of acquiring a secondary education degree. Article 38 (1). Depending on the stage or degree of education, non-specialized schools shall be:  1. elementary (grades I to IV inclusive);  2. primary (grades I to VII inclusive);  3. gymnasiums (grades VIII to XII inclusive);  4. integrated (grades I to X inclusive);  5. secondary (grades I to XII inclusive)  …  (4) Non-specialized schools shall be municipal, except for vocational gymnasiums which shall be owned by the State. ",42.7339,25.4858
BG,Bulgaria,2019,Is pre-primary education legally free and compulsory?,Yes,"Two years of pre-primary education is free and compulsory in Bulgaria. Pre-school and School Education Act (Gazette No. 79/13.10.2015)  Article 8. (1). Pre-school education shall be compulsory as from the school year starting in the year in which the child becomes five years of age and the parents shall any of the forms under Article 67, whereas the state and local governments shall create conditions for kindergartens and pre-school education groups to cover all children. (2) School education shall be compulsory until the age of 16, starting from the school year which begins in the year in which the child becomes seven years of age. Article 9. (1). The compulsory pre-school and school education at state-owned and municipal kindergartens and schools shall be free for children and pupils. … ",42.7339,25.4858
BG,Bulgaria,2019,Is equal access to post-secondary education legally guaranteed?,Partially,"The Pre-school and School Education act refers to equal access to high-quality education, although this principal does not explicitly apply to post-secondary education. Pre-school and School Education Act (Gazette No. 79/13.10.2015) Article 1. (1). This Act shall regulate the social relationships concerning the safeguarding of the right to pre-school and school education, as well as the structure, functions, organization, management and financing of the pre-school and school education system. (2) This Act shall apply to vocational school education and training, unless the Vocational Education and Training Act rules otherwise. Article 3. (2). Education is a national priority based on the following principles: … 3. equal access to high-quality education and inclusion of every child and every pupil. ",42.7339,25.4858
BG,Bulgaria,2019,Is the legal age of marriage set at least at 18 years old?,Partially,"The minimum age of marriage is eighteen for men and women in Bulgaria, with exceptions from the age of sixteen permissible with judicial consent. Family Code (State Gazette, No. 47/23.06.2009) amended through 2013 Article 6. (1). Marriage shall be allowed to persons above the age of eighteen.  (2). By way of exception, where compelling reasons warrant it, a person aged sixteen may also get married with the consent of the district judge at the place of permanent residence of this person. … ",42.7339,25.4858
BG,Bulgaria,2019,Is the minimum age of employment at least 15 and aligned with the end of compulsory education?,Yes,"The minimum age for employment in Bulgaria is 16 years, which is aligned with the end of compulsory education. Labour Code (State Gazette 26/1 Apr 1986), amended through 2018 Article 301. (1). The minimum age for employment shall be 16. The employment of persons under 16 years of age is prohibited. ",42.7339,25.4858
BG,Bulgaria,2019,Are learners legally protected against all violence and corporal punishment in educational institutions?,,"It is reported that corporal punishment is unlawful in schools pursuant to articles 128 and 129 of the Regulation on the Implementation of the National Education Act, which prevents teachers from applying ‘any forms of physical or mental violence against’ children and students (see endcorporalpunishment country report) UNESCO has been unable to access this law.Although the Pre-school and School Education Act supports anti-violence activities, no legal provision has been identified which provides actual legal protection from violence.Pre-school and School Education Act (Gazette No. 79/13.10.2015)Article 185 (1). Kindergartens, schools and personality development support centres shall carry out activities for the prevention of harassment and violence, as well as activities for motivation and overcoming problematic behavior, which are the expression of the common will and the concerted efforts of all participants in the educational process.",42.7339,25.4858
BG,Bulgaria,2019,Is pregnant and parenting girls’ right to education protected in the legal framework?,"No, not explicitly",No legal provision has been identified relating to the right to education of pregnant and parenting girls. ,42.7339,25.4858
BG,Bulgaria,2019,Data last update,Yes,Last update: 07/2024,42.7339,25.4858
BF,Burkina Faso,2019,Is the country party to UNESCO Convention against Discrimination in Education?,Yes,Burkina Faso ratified the UNESCO Convention against Discrimination in Education on 4 September 2012.,12.2383,-1.5616
BF,Burkina Faso,2019,Is the country party to the UN Convention on the Elimination of Discrimination against Women?,Yes,"Burkina Faso ratified the Convention on the Elimination of All Forms of Discrimination against Women (CEDAW) on 14 October 1987, without reservations.",12.2383,-1.5616
BF,Burkina Faso,2019,Does the Constitution enshrine the right to education without discrimination?,"Yes, without discrimination based on sex/gender","The Constitution of Burkina Faso enshrines the right to education only for citizens and therefore does not apply to all people within the territory. It also contains a principle of non-discrimination on the grounds of gender.The Constitution of Burkina Faso of 1991, revised in 2012 (unofficial translation) Article 1. Discrimination of all kinds, including discrimination based on race, ethnicity, region, colour, sex, language, religion, caste, political opinion, property and birth, is prohibited.Article 18. Education, … constitute social and cultural rights recognized by this Constitution, which aims to promote them.Article 27. Every citizen has the right to education.",12.2383,-1.5616
BF,Burkina Faso,2019,Does the legislation enshrine the right to education without discrimination?,"Yes, without discrimination based on sex/gender","The law on education policy guarantees the right to education for all without gender discrimination.Law No. 013-2007/AN on education policy (non-official translation) Article 3. ... Everyone living in Burkina Faso has the right to education without discrimination of any kind, including on the basis of sex, social origin, race, religion, political opinion, nationality or state of health. This right is exercised on the basis of equity and equal opportunities for all citizens.",12.2383,-1.5616
BF,Burkina Faso,2019,Are 9 years of primary and secondary education legally compulsory?,Yes,The law on education policy stipulates that basic education is compulsory from age six to 16 years. Basic education in Burkina Faso comprises six years of primary education and three or four years of post-primary education.Law No. 013-2007/AN on education policy (non-official translation) Article 2. ... Basic education includes primary and post-primary education... Primary education: ... normally for a duration of six years ... Post-primary education: for a duration of three or four years ...Article 4. Basic education is compulsory for all children aged six to 16 years. ...,12.2383,-1.5616
BF,Burkina Faso,2019,Are 12 years of primary and secondary education legally free?,Partially,"The law on education policy stipulates that only 10 years of education are free of charge (basic education, from six to 16 years of age). Nothing guaranteeing the free provision of what corresponds to upper secondary education has been identified.Law No. 013-2007/AN on education policy (non-official translation) Article 6. Basic State education is free of charge.",12.2383,-1.5616
BF,Burkina Faso,2019,Is pre-primary education legally free and compulsory?,No,"No provision guaranteeing at least one year of free compulsory pre-primary education has been identified.Law No. 013-2007/AN on education policy (non-official translation) Article 19. Formal basic education includes preschool, primary and post-primary education. The primary education and post-primary education levels constitute the compulsory basic education.Article 20. Preschool education is the first level of basic education. It is aimed at children aged three to six years who have not yet reached compulsory school age ...",12.2383,-1.5616
BF,Burkina Faso,2019,Is equal access to post-secondary education legally guaranteed?,Yes,"The law stipulates that academic higher education is open to everyone on an equal basis. The policy on technical and vocational education and training (TVET), adopted by decree, enshrines equal access to TVET.Law No. 013-2007/AN on education policy (non-official translation) Article 4. The State and local authorities, the private sector and other education partners shall develop higher education, which shall be open to all citizens on an equal footing, in accordance with the laws in force.Decree No. 2008-584/PRES/PM/MESSRS/MEF of 19 September 2008 adopting the national policy document on technical and vocational education and training. (non-official translation) 1.2 Foundations and general guidelines for the national policy on technical and vocational education and training (TVET): ... the TVET system, through initial training, continuing training or customized training, must obey two principles: it must be accessible to all, including young people, women, disabled people, the unemployed, illiterate people, school drop-outs, group candidates and individuals, which implies a relevant and adapted structuring ...",12.2383,-1.5616
BF,Burkina Faso,2019,Is the legal age of marriage set at least at 18 years old?,No,"The minimum legal age for marriage is 17 years for girls with the consent of the person exercising parental authority, and may be lowered to 15 years with the authorization of the civil courts.Family Code 1989 (non-official translation) Article 238. Marriage may only be contracted between a man over 20 years of age and a woman over 17 years of age, unless the civil court grants an exemption from the age requirement for serious reasons. This age exemption may under no circumstances be granted for a man under the age of 18 years and a woman under the age of 15 years.Article 241. A minor may not enter into marriage without the consent of his or her father and mother or of the father or mother or any person exercising parental authority by virtue of a court decision or delegation recorded in the proceedings of the Family Council, or of the guardian... Article 554. A minor is an individual of either sex who has not yet reached 20 years of age.",12.2383,-1.5616
BF,Burkina Faso,2019,Is the minimum age of employment at least 15 and aligned with the end of compulsory education?,Yes,"The minimum legal age for employment is 16 years, which is in line with the end of compulsory schooling.Law No. 028-2008-AN of 13 May 2008 on the Labour Code (non-official translation) Article 152. The minimum age for access to any type of employment or work must not be lower than 16 years, but this minimum age may be waived in the case of light work. A regulatory act of the Minister of Labour shall determine the conditions and procedures of such work after consulting the National Technical Advisory Committee on Safety and Health at Work.",12.2383,-1.5616
BF,Burkina Faso,2019,Are learners legally protected against all violence and corporal punishment in educational institutions?,Partially,"The law on education policy prohibits all forms of violence in educational settings, but does not explicitly prohibit corporal punishment. The latter is explicitly prohibited only at the primary level. A decree from 2016 prohibits violence against teachers. Law No. 013-2007/AN on education policy (non-official translation) Article 47. Any form of violence against anyone is formally prohibited in educational settings under penalty of punishment in accordance with the laws in force.Decree No. 2008-236/PRES/PM/MEBA/MESSRS/MASSN/MATD of 8 May 2008 on the organization of primary education (unofficial translation) Article 66. Corporal punishment is strictly prohibited in schools, under penalty of disciplinary action, notwithstanding any criminal penalties incurred, in accordance with the laws in force.Decree N°2016-926/PRES/PM/MATDSI/MJDHPC/MINEFID/MENA on the protection of school propert (unofficial translation)Article 4. The following shall benefit from protection against any form of physical or moral attack in the school domain	- learners of educational structures 	- teachers of educational facilities 	- the personnel who usually work in the educational structures; 	- any movable or immovable property. ",12.2383,-1.5616
BF,Burkina Faso,2019,Is pregnant and parenting girls’ right to education protected in the legal framework?,,"Decree 74 - 465 explicitly prohibits the exclusion of pregnant students and allows them to repeat a year, following childbirth. However, this possible repetition is limited because it cannot take place if the student has already repeated a year. Moreover, the pregnant student is only allowed to return to the boarding school after giving birth if the school administration deems it possible and acceptable. 	These provisions, which are contradicotry in term of protection of the right to education of pregnant girls and young mothers, do not allow for a score to be assigned for this indicator. Decree n°74/465/PRES/EN regulating the conditions of school attendance of pregnant pupilsArticle 1. Pregnant students shall not be excluded from public and private educational establishments of the first and second levels of education and vocational training. Article 2. The pregnant student will leave the boarding school and will receive a stipend if she is on scholarship. She will continue to attend classes as long as her condition permits. Article 3. In the event that the pregnancy has caused an interruption in attendance for a period of time that compromises the evaluation of her school work, the student will be allowed to repeat the grade if she has not already done so. Article 4. After childbirth, the student will only be admitted to the boarding school if the school administration deems it possible and acceptable. Article 6. For boarding students, these measures will be applied only after consultation with the doctor. The doctor, in collaboration with the head of the school, will ensure the health and well-being of the student.",12.2383,-1.5616
BF,Burkina Faso,2019,Data last update,Yes,Last update: 06/2022,12.2383,-1.5616
BI,Burundi,2019,Is the country party to UNESCO Convention against Discrimination in Education?,No,Burundi has not ratified the UNESCO Convention against Discrimination in Education.,-3.3731,29.9189
BI,Burundi,2019,Is the country party to the UN Convention on the Elimination of Discrimination against Women?,Yes,"Burundi ratified the Convention on the Elimination of All Forms of Discrimination against Women (CEDAW) on 8 January 1992, without reservations.",-3.3731,29.9189
BI,Burundi,2019,Does the Constitution enshrine the right to education without discrimination?,"Yes, without discrimination based on sex/gender","The Constitution of Burundi guarantees the right to education but only for its citizens. The Constitution also contains a principle of non-discrimination on the grounds of gender.The Constitution of Burundi of 2005, revised in 2018 (non-official translation)Article 22. All citizens are equal before the law, which provides them with equal protection. No one shall suffer discrimination, in particular on the basis of … gender …Article 53. Every citizen has the right to equal access to teaching, education and culture. The State has a duty to organize public education and to promote access to it ...",-3.3731,29.9189
BI,Burundi,2019,Does the legislation enshrine the right to education without discrimination?,"Yes, without discrimination based on sex/gender","The law guarantees the right to education at the basic and secondary levels, only for its citizens and not for all people within the territory. The law also contains a principle of non-discrimination on the grounds of gender.Law No. 1/19 of 10 September 2013 on the organization of basic and secondary education (non-official translation)Article 4. Every citizen has the right to equal access to teaching, education... The State has a duty to organize public education and to promote access to it ...Article 6. The basic and secondary education sector is under the responsibility of the State, which guarantees citizens the effective implementation of the right to education ...Article 10. School is open to all in order to give the same opportunities for success and social advancement to all. Discrimination of any kind on grounds of gender ... is prohibited.Law No. 1/13 of September 22, 2016, on the prevention and repression of gender-based violence Article 9. [Ministries with education in their remit] shall take all necessary measures to allow equal access to education for girls and boys and shall ensure that sexist or discriminatory stereotypes are eliminated from teaching materials.",-3.3731,29.9189
BI,Burundi,2019,Are 9 years of primary and secondary education legally compulsory?,No,No legislative provision recognizing the compulsory nature of education has been identified.,-3.3731,29.9189
BI,Burundi,2019,Are 12 years of primary and secondary education legally free?,No,"Law No. 1/19 of 10 September 2013 provides that free State education is guaranteed under the conditions established by decree. However, no decree on the subject has been identified.Law No. 1/19 of 10 September 2013 on the organization of basic and secondary education (non-official translation)Article 17. Free State education is guaranteed under the conditions established by decree.",-3.3731,29.9189
BI,Burundi,2019,Is pre-primary education legally free and compulsory?,No,No legislative provision guaranteeing one year of free and compulsory preschool education has been identified.Law No. 1/19 of 10 September 2013 on the organization of basic and secondary education (non-official translation)Article 26. The State shall ensure the gradual universalization of preschool education.,-3.3731,29.9189
BI,Burundi,2019,Is equal access to post-secondary education legally guaranteed?,Yes,"The law on higher education in Burundi guarantees access to higher education for its nationals, without discrimination.Law No 1/22 of 30 December 2011 on the reorganization of higher education in Burundi (non-official translation)Article 1. ... Higher education: all training provided post-secondary education.Article 7. State and private higher education is accessible, without discrimination, to any applicant of Burundian nationality holding a general or technical education diploma ...",-3.3731,29.9189
BI,Burundi,2019,Is the legal age of marriage set at least at 18 years old?,Partially,"The minimum legal age for marriage is 18 years for girls, but exceptions allow for marriage before that age without an absolute minimum being defined.Decree-Law No. 1/204 of 28 April 1993 (non-official translation)Article 88. Men under the age of twenty-one and women under the age of eighteen may not enter into marriage. Nevertheless, the provincial governor may waive the age requirement for serious reasons.Article 89. Without prejudice to the provisions of paragraph 2 of the preceding article, men and women who have not reached the age of majority may not enter into marriage without the consent of their father and mother.",-3.3731,29.9189
BI,Burundi,2019,Is the minimum age of employment at least 15 and aligned with the end of compulsory education?,No,"The minimum legal age of employment is 16 years, but with some exceptions allowing employment from the age of 12 years, and since no legislative provision recognizing the compulsory nature of education has been identified, UNESCO is not in a position to assess age alignment.Labour Code of 1993 (non-official translation) Article 3. The minimum age for admission to employment is 16 years. However, an order of the minister responsible for labour may provide for exceptions to this principle under article 125 of this Code, and provided that the person is at least 12 years old.",-3.3731,29.9189
BI,Burundi,2019,Are learners legally protected against all violence and corporal punishment in educational institutions?,Partially,"No provisions have been identified explicitly prohibiting corporal punishment. Burundi has adopted a law on the prevention and punishment of gender-based violence, which stipulates that schools must provide care for victims of gender-based violence.Law No. 1/13 of 22 September 2016 on the prevention and punishment of gender-based violence (non-official translation)Article 16. State and private schools must provide immediate schooling, in similar or related sections, for students who are victims of gender-based violence and who are forced to change their residence or school. Children affected by a change of residence caused by acts of gender-based violence against one of their parents must also be taken into account.Article 17. The heads of schools and academic institutions must take all the necessary measures to provide care for students who are victims of gender-based violence. ",-3.3731,29.9189
BI,Burundi,2019,Is pregnant and parenting girls’ right to education protected in the legal framework?,"Yes, explicitly",The law on the prevention and punishment of gender-based violence provides that the heads of schools and academic institutions have an obligation to uphold the right to education of young single mothers. Law No. 1/13 of 22 September 2016 on the prevention and punishment of gender-based violence (non-official translation) Article 18. Heads of schools have an obligation to uphold the right to education of single mothers and take appropriate measures to protect them from stigmatization and social exclusion ...,-3.3731,29.9189
BI,Burundi,2019,Data last update,Yes,Last update: 09/2022,-3.3731,29.9189
CV,Cabo Verde,2019,Is the country party to UNESCO Convention against Discrimination in Education?,No,Cabo Verde has not ratified the UNESCO Convention against Discrimination in Education.,16.5388,-23.0418
CV,Cabo Verde,2019,Is the country party to the UN Convention on the Elimination of Discrimination against Women?,Yes,Cabo Verde ratified the UN Convention on the Elimination of All Forms of Discrimination against Women on 05/12/1980 with no reservations.,16.5388,-23.0418
CV,Cabo Verde,2019,Does the Constitution enshrine the right to education without discrimination?,"Yes, without discrimination based on sex/gender","The Constitution of the Republic of Cape Verde enshrines the right to education for all and the State has a responsibility to guarantee equality of opportunity of access and achievement. There is provision on equality and non-discrimination with sex as a prohibited ground.Constitution of the Republic of Cape Verde of September 25th 1992, as amended in 2010 (unofficial translation)Article 1(2) The Republic of Cape Verde recognizes the equality of all citizens before the law, without distinction of social origin or economic, race, sex, religion, political or ideological convictions and social status and ensures the full exercise by all citizens of the fundamental freedoms.Article 49(1) Everyone has the freedom to learn, to educate and to teach. (2)a. Freedom to learn, to educate and to teach shall include : the right to attend educational and teaching establishments and to teach therein without any discrimination, under the terms of the law;Article 78(1) Everyone has the right to education.(3) To guarantee the right to education, it is the responsibility of the State, namely, to guarantee the right to equal opportunities for access and success in education",16.5388,-23.0418
CV,Cabo Verde,2019,Does the legislation enshrine the right to education without discrimination?,"Yes, without discrimination based on sex/gender","The Framework Law on Education of 2010 enshrines the right to education, but this right is mentioned regarding citizens only. The education system is directed to all individuals regardless of sex.Framework Law on Education of 2010, amended in 2018 (unofficial translation)Article 4.	(1). Every citizen has the right and duty of education.(4). The State progressively promotes equal access for all citizens to different degrees of education and equal opportunities for school success. Article 6. The education system is directed to all individuals, regardless of age, sex, socioeconomic, intellectual or cultural level, religious belief or philosophical conviction.",16.5388,-23.0418
CV,Cabo Verde,2019,Are 9 years of primary and secondary education legally compulsory?,Yes,"The Framework Law on Education of 2010 guarantees compulsory education at the primary and lower secondary level, for a duration of 10 years, from the age of six until the 10th grade.Framework Law on Education of 2010, amended in 2018 (unofficial translation)Article 13.	(1) The State guarantees universal and compulsory education up to 10th grade.(2) The State promotes the creation of conditions to extend schooling up to the 12th year of schooling.Article 20(1) Children who turn 6 by December 31 enter basic education.(2) The compulsory attendance of basic education ends at an age to be fixed, by a specific diploma issued by the Government…Article 23 (1). Basic education lasts for eight years and comprises three sequential cycles, the first of four years, the second and the third of two years each …a) In the 1st cycle, teaching is global, under the responsibility of a teacher, who can be assisted in specialized areas;  b) In the 2nd cycle, teaching is organized according to a unified curriculum plan, which integrates diversified vocational areas, and is developed in a multi-teaching regime. Article 26 (2). Secondary education lasts for four years, in a single cycle, from the 9th to the 12th year of schooling, and is structured in two optional ways, general and technical.",16.5388,-23.0418
CV,Cabo Verde,2019,Are 12 years of primary and secondary education legally free?,Partially,"The Framework Law on Education of 2010 guarantees 8 years of free basic education which corresponds to primary and lower secondary education. However, upper secondary education is progressively free.Framework Law on Education of 2010, amended in 2018 (unofficial translation)Article 14.	(1) Basic education is universal, compulsory and free, lasting 8 years.(2) The gratuity of basic education means the exemption of tuition fees and fees related to enrollment and certification of achievement.(3) The state promotes the creation of conditions to progressively extend the gratuity to secondary education.(4) The gratuity in secondary education means the exemption of tuition fees.(5) The students of the basic and secondary education also have support in the scope of the school social action, according to the applicable law.",16.5388,-23.0418
CV,Cabo Verde,2019,Is pre-primary education legally free and compulsory?,No,"The Framework Law on Education of 2010 provides that pre-primary education is directed to all children from the year they reach 4 years old, but it does not guarantee free and compulsory pre-primary education.Framework Law on Education of 2010, amended in 2018 (unofficial translation)Article 16.	(1) Pre-primary education is part of the objectives of universalizing access to education, aiming, on the one hand, at the development of the child and, on the other hand, at socialization and preparation for entering school education.(2) Preschool education is directed to all children from the year they reach 4 years of age.(3) The universalization of pre-school education implies for the state the duty to guarantee the conditions and measures that allow all children access to pre-school education.",16.5388,-23.0418
CV,Cabo Verde,2019,Is equal access to post-secondary education legally guaranteed?,Yes,"The Framework Law on Education of 2010 that applies to post-secondary education, guarantees equal access to post-secondary education.  Framework Law on Education of 2010, amended in 2018 (unofficial translation)Article 35 (1) The State must create the conditions that guarantee citizens the possibility of attending higher education in order to neutralize the discriminatory effects arising from asymmetries or socioeconomic disadvantages.(2) Access to higher education is governed by the following principles: a) Democracy, equity and equal opportunities ",16.5388,-23.0418
CV,Cabo Verde,2019,Is the legal age of marriage set at least at 18 years old?,Partially,"The Civil Code of 1997 defines that minors can get married at the age of 16 years old with parental consent, otherwise the age of majority is eighteen years old.Civil Code 1997 (unofficial translation)Article 133. A minor is a person who has not yet completed eighteen years old.Article 1567. These are outright impediments, preventing the marriage of the person to whom they respect any other:(a) The age below sixteen years;Article 1570 (1). Besides other impediments fixed by special laws, are impediments:  (d) The opposition of the parent or guardian of the minor.Article 1575.	(1). When they have not given their consent, any parent or guardian of the minor may deduct opposition to marriage under the terms prescribed in the laws of the civil registry.(2). Once the objection is deduced, the marriage may only be concluded if the competent court finds the objection unjustifiedArticle 1604 (1). The action of annulment founded on impediment should be initiated:(a) in cases of minority …",16.5388,-23.0418
CV,Cabo Verde,2019,Is the minimum age of employment at least 15 and aligned with the end of compulsory education?,Yes,"The Constitution provides that the work of children of compulsory school age is prohibited and the minimum age of employment is 15 years which is aligned with the end of compulsory education.Constitution of the Republic of Cape Verde of September 25th 1992, as amended in 2010 (unofficial translation)Article 89 (3). The work of children of compulsory school age is prohibited.Law on Children and Adolescents of 2013 (unofficial translation)Article 61	(1). The minimum age for paid work of the adolescent is set at fifteen years old.(2). The state may set other minimum ages, above the age of fifteen, for other work of hazardous character or which is cataloged as the worst form of child labor, particularly those that may interfere with education or that are harmful to health or physical, mental, moral and social development.(3). In cases of infringement of the minimum working age, adolescents are entitled to all benefits and pay in respect of work and de facto employment relationships.",16.5388,-23.0418
CV,Cabo Verde,2019,Are learners legally protected against all violence and corporal punishment in educational institutions?,Partially,"Corporal punishment is prohibited in educational establishments under article 128 of the Civil Code. Even if there is no clear mention to protection against gender-based violence in educational institutions, the Law No. 8/2015 sets clear gender equality standards for curriculum, pedagogical instruments and educational practices.Civil Code 1997 (unofficial translation)Article 128.	(1). The right not to suffer moral or bodily abuse consists in the right of minors of not being subjected to bodily abuse or victims of carelessness, lack of affection or mental cruelty which compromise their physical, intellectual, moral or affective development.(2). For the purposes of the preceding paragraph, the use of degrading, humiliating or stigmatizing corporal punishment in educational establishments or any other public and private institution is prohibited.Law No. 8/2015 (unofficial translation)Article 8.	(1). The governmental department responsible for education, shall, in the smallest amount of time:	(a) Adopt measures that lead to the elimination of all educational practices perpetuating gender inequalities that may still exist in all the levels of schooling and education;	(b) Promote the revision of all pedagogical instruments and didactic materials in basic education, secondary education and basic adults education;	(c) Include in the curriculums of basic, secondary and adults basic education pedagogical contents that promote gender equality and equity;	(d) Stimulate the promotion of gender equality and a culture of non-violence in pre-school education.",16.5388,-23.0418
